City,Country,Date,Time,Lat,Lon,Temp,Min,Max,Humidity,Cloudiness,Wind_speed
Lubbock,US,2019-10-09,13:17,33.58,-101.86,77.94,77.0,80.01,53,1,14.99
Ciudad Real,ES,2019-10-09,20:17,38.99,-3.93,82.06,81.0,86.0,27,0,4.7
Dina,PK,2019-10-09,23:17,33.03,73.6,74.75,74.75,74.75,39,0,1.25
Cherskiy,RU,2019-10-10,05:17,68.75,161.3,11.03,11.03,11.03,86,0,9.05
Tocopilla,CL,2019-10-09,15:17,-22.09,-70.2,80.15,80.15,80.15,15,0,9.03
Atikokan,CA,2019-10-09,13:17,48.76,-91.62,63.41,63.41,63.41,57,100,12.25
San Patricio,MX,2019-10-09,13:17,19.22,-104.7,91.4,91.4,91.4,66,75,11.41
Klaksvik,FO,2019-10-09,19:17,62.23,-6.59,48.2,48.2,48.2,93,92,17.22
Mehamn,NO,2019-10-09,20:17,71.03,27.85,39.9,39.2,41.0,86,75,2.24
Caravelas,BR,2019-10-09,15:17,-17.73,-39.27,80.87,80.87,80.87,65,36,15.2
Chiang Rai,TH,2019-10-10,01:17,19.9,99.84,73.4,73.4,73.4,94,5,0.37
Ribeira Grande,PT,2019-10-09,18:17,38.52,-28.7,69.8,69.8,69.8,56,40,5.82
Rawson,AR,2019-10-09,15:17,-43.3,-65.11,54.95,54.95,54.95,56,15,4.02
East London,ZA,2019-10-09,20:17,-33.02,27.91,55.4,55.4,55.4,93,90,20.8
Zhanaozen,KZ,2019-10-09,23:17,43.35,52.85,56.57,56.57,56.57,49,81,21.21
Rach Gia,VN,2019-10-10,01:17,10.02,105.08,75.2,75.2,75.2,100,40,5.97
Iracoubo,GF,2019-10-09,15:17,5.48,-53.21,82.67,82.67,82.67,75,3,21.85
Carinhanha,BR,2019-10-09,15:17,-14.3,-43.77,92.75,92.75,92.75,28,56,4.4
Samarai,PG,2019-10-10,04:17,-10.62,150.67,73.49,73.49,73.49,95,98,3.07
Mareeba,AU,2019-10-10,04:17,-16.99,145.42,65.37,63.0,68.0,94,100,1.12
Ikalamavony,MG,2019-10-09,21:17,-21.17,46.6,70.79,70.79,70.79,63,21,9.14
Southbridge,NZ,2019-10-10,07:17,-43.81,172.25,57.42,55.99,59.0,51,100,5.82
Talakan,RU,2019-10-10,03:17,50.29,130.28,42.35,42.35,42.35,86,78,1.99
Deloraine,CA,2019-10-09,13:17,49.18,-100.5,35.01,35.01,35.01,74,100,13.0
Libertador General San Martin,AR,2019-10-09,15:17,-23.81,-64.79,87.89,87.89,87.89,24,0,8.58
Darya Khan,PK,2019-10-09,23:17,31.78,71.1,82.31,82.31,82.31,25,0,3.93
San Andres,CO,2019-10-09,13:17,8.22,-76.58,87.8,87.8,87.8,66,40,11.41
Cabedelo,BR,2019-10-09,15:17,-6.97,-34.84,84.2,84.2,84.2,58,75,17.22
Antalaha,MG,2019-10-09,21:17,-14.9,50.28,76.73,76.73,76.73,80,54,18.56
Biltine,TD,2019-10-09,19:17,14.53,20.93,88.61,88.61,88.61,35,80,5.02
Ahipara,NZ,2019-10-10,07:17,-35.17,173.16,61.0,61.0,61.0,100,100,13.17
Kaitangata,NZ,2019-10-10,07:17,-46.28,169.85,46.99,46.99,46.99,93,100,17.0
Rocha,UY,2019-10-09,15:17,-34.48,-54.34,73.31,73.31,73.31,52,0,10.84
Bayangol,RU,2019-10-10,02:17,50.7,103.47,25.43,25.43,25.43,93,100,2.47
Lokosovo,RU,2019-10-09,23:17,61.13,74.84,46.67,46.67,46.67,89,100,11.45
Aripuana,BR,2019-10-09,14:17,-9.17,-60.63,93.83,93.83,93.83,40,100,4.17
Champerico,GT,2019-10-09,12:17,14.3,-91.92,87.8,87.8,87.8,62,40,9.17
Gusau,NG,2019-10-09,19:17,12.17,6.66,78.71,78.71,78.71,72,93,4.75
Adrar,DZ,2019-10-09,19:17,27.87,-0.29,86.0,86.0,86.0,22,0,14.99
Grindavik,IS,2019-10-09,18:17,63.84,-22.43,47.34,46.4,48.2,70,75,16.11
Orapa,BW,2019-10-09,20:17,-21.28,25.37,82.31,82.31,82.31,11,0,5.54
Bethel,US,2019-10-09,10:17,60.79,-161.76,36.79,35.6,37.4,100,90,5.82
Waipawa,NZ,2019-10-10,07:17,-39.94,176.59,46.0,46.0,46.0,94,100,1.45
Leningradskiy,RU,2019-10-10,06:17,69.38,178.42,29.21,29.21,29.21,91,100,24.06
Santiago,PH,2019-10-10,02:17,16.69,121.54,70.07,70.07,70.07,96,30,1.49
Ferrol,ES,2019-10-09,20:17,43.48,-8.23,60.06,57.99,62.6,72,20,5.82
Flinders,AU,2019-10-10,05:17,-34.58,150.85,51.49,46.0,57.0,87,8,8.05
Aonla,IN,2019-10-09,23:47,28.27,79.16,74.75,74.75,74.75,70,0,2.87
Celestun,MX,2019-10-09,13:17,20.87,-90.4,81.23,81.23,81.23,78,86,3.86
Jacmel,HT,2019-10-09,14:17,18.24,-72.54,93.2,93.2,93.2,32,20,13.87
Coquimbo,CL,2019-10-09,15:17,-29.95,-71.34,59.0,59.0,59.0,72,75,14.99
Gulu,UG,2019-10-09,21:17,2.77,32.3,68.63,68.63,68.63,93,99,3.38
Ruthin,GB,2019-10-09,19:17,53.11,-3.31,51.26,46.99,55.4,71,40,11.41
Monkey Bay,MW,2019-10-09,20:17,-14.08,34.91,79.61,79.61,79.61,71,24,1.54
Northam,AU,2019-10-10,02:17,-31.65,116.67,57.2,57.2,57.2,93,90,4.7
Pisco,PE,2019-10-09,13:17,-13.71,-76.2,67.24,64.0,71.6,30,9,10.29
Chapais,CA,2019-10-09,14:17,49.78,-74.86,59.0,59.0,59.0,47,1,11.41
Rognan,NO,2019-10-09,20:17,67.1,15.4,37.29,36.0,37.99,59,0,13.87
Amlagora,IN,2019-10-09,23:48,22.83,87.35,74.21,74.21,74.21,92,59,4.72
Genhe,CN,2019-10-10,02:18,50.78,121.52,26.51,26.51,26.51,87,75,2.06
Pochutla,MX,2019-10-09,13:18,15.74,-96.47,84.83,82.4,88.0,74,75,9.17
Marawi,SD,2019-10-09,20:18,18.48,31.82,99.23,99.23,99.23,14,70,11.53
Esperance,AU,2019-10-10,02:18,-33.86,121.89,62.6,62.6,62.6,59,100,14.99
Houma,US,2019-10-09,13:18,29.6,-90.72,86.38,82.99,90.0,55,1,8.05
Saint George,BM,2019-10-09,15:18,32.38,-64.68,78.58,78.01,79.0,78,90,16.11
Nador,MA,2019-10-09,19:18,35.17,-2.93,73.4,73.4,73.4,78,20,5.82
Tura,RU,2019-10-10,01:18,64.27,100.22,12.47,12.47,12.47,89,56,6.0
Ous,RU,2019-10-09,23:18,60.91,61.52,40.37,40.37,40.37,95,100,5.78
Bathsheba,BB,2019-10-09,14:18,13.22,-59.52,87.8,87.8,87.8,74,40,14.99
Dunedin,NZ,2019-10-10,07:18,-45.87,170.5,48.99,48.99,48.99,95,100,1.99
Ostrovnoy,RU,2019-10-09,21:18,68.05,39.51,32.45,32.45,32.45,90,99,10.5
Hollins,US,2019-10-09,14:18,37.35,-79.95,69.48,64.0,73.0,46,20,4.7
Bria,CF,2019-10-09,19:18,6.54,21.99,70.61,70.61,70.61,94,100,2.97
Lexington,US,2019-10-09,14:18,38.05,-84.5,64.18,60.8,68.0,82,90,6.93
Sabha,LY,2019-10-09,20:18,27.03,14.43,74.03,74.03,74.03,34,50,5.79
Angoche,MZ,2019-10-09,20:18,-16.23,39.91,77.81,77.81,77.81,75,10,9.54
Kupang,ID,2019-10-10,02:18,-10.16,123.6,76.73,76.73,76.73,76,94,9.31
Maceio,BR,2019-10-09,15:18,-9.67,-35.74,82.4,82.4,82.4,58,40,17.22
Saskylakh,RU,2019-10-10,03:18,71.97,114.09,16.97,16.97,16.97,94,98,13.68
Siverek,TR,2019-10-09,21:18,37.75,39.32,75.2,75.2,75.2,31,15,6.93
Santa Isabel do Rio Negro,BR,2019-10-09,14:18,-0.41,-65.02,81.95,81.95,81.95,87,100,1.98
Cidreira,BR,2019-10-09,15:18,-30.17,-50.22,67.55,67.55,67.55,84,0,9.65
Portland,AU,2019-10-10,05:18,-33.35,149.98,41.02,39.99,42.01,95,46,3.58
North Bend,US,2019-10-09,11:18,43.41,-124.22,50.59,48.0,53.6,71,1,3.36
Matamoros,MX,2019-10-09,13:18,25.53,-103.23,85.46,84.99,86.0,30,5,4.7
Bratsk,RU,2019-10-10,02:18,56.15,101.63,24.24,24.01,24.8,68,75,6.71
Clyde River,CA,2019-10-09,14:18,70.47,-68.59,32.0,32.0,32.0,81,5,11.41
Mackay,AU,2019-10-10,04:18,-21.15,149.2,68.76,66.99,71.01,88,40,5.82
Vilhena,BR,2019-10-09,14:18,-12.74,-60.15,87.8,87.8,87.8,52,40,5.82
Jiuquan,CN,2019-10-10,02:18,39.73,98.49,48.29,48.29,48.29,47,77,4.79
Upata,VE,2019-10-09,14:18,8.02,-62.41,82.31,82.31,82.31,82,97,4.47
Omihachiman,JP,2019-10-10,03:18,35.15,136.07,57.45,54.0,60.01,85,34,3.5
Diamantino,BR,2019-10-09,14:18,-14.4,-56.44,92.39,92.39,92.39,36,52,7.47
Plettenberg Bay,ZA,2019-10-09,20:18,-34.05,23.37,55.31,55.31,55.31,72,98,10.73
Manhattan,US,2019-10-09,13:18,39.18,-96.57,62.58,61.0,64.99,84,88,7.0
Nieuw Amsterdam,SR,2019-10-09,15:18,5.88,-55.08,93.74,93.0,95.0,44,40,4.7
Antofagasta,CL,2019-10-09,15:18,-23.65,-70.4,62.6,62.6,62.6,63,40,12.75
Douglas,US,2019-10-09,14:18,31.51,-82.85,76.69,71.6,80.6,61,40,8.05
Salvacion,PH,2019-10-10,02:18,13.85,121.93,77.0,77.0,77.0,90,73,15.27
Esmeraldas,EC,2019-10-09,13:18,-1.87,-79.8,83.01,82.0,84.2,58,40,8.05
Leh,IN,2019-10-09,23:48,34.16,77.58,32.27,32.27,32.27,45,44,6.15
Sao Filipe,CV,2019-10-09,17:18,14.9,-24.5,77.81,77.81,77.81,77,0,11.7
Wuwei,CN,2019-10-10,02:18,37.93,102.64,53.01,53.01,53.01,59,72,8.25
Puerto Colombia,CO,2019-10-09,13:18,10.99,-74.96,87.8,87.8,87.8,66,40,8.05
Krasnyy Chikoy,RU,2019-10-10,03:18,50.36,108.75,22.01,22.01,22.01,88,47,5.02
Atagay,RU,2019-10-10,02:18,55.1,99.39,24.53,24.53,24.53,88,73,3.13
Manono,CD,2019-10-09,20:18,-7.3,27.4,78.35,78.35,78.35,59,100,3.64
Baker City,US,2019-10-09,11:18,44.77,-117.83,36.0,30.0,42.01,59,75,20.8
Pecos,US,2019-10-09,13:18,31.42,-103.49,86.67,82.4,91.4,26,1,17.22
Sechura,PE,2019-10-09,13:18,-5.56,-80.82,60.17,60.17,60.17,94,27,18.45
Domna,RU,2019-10-10,03:18,51.9,113.16,21.2,21.2,21.2,73,27,8.95
Atascadero,US,2019-10-09,11:18,35.49,-120.67,61.65,53.01,71.01,59,1,3.36
Pangoa,PE,2019-10-09,13:18,-12.12,-73.0,88.97,88.97,88.97,44,18,3.64
Awjilah,LY,2019-10-09,20:18,29.14,21.3,92.03,92.03,92.03,14,100,11.49
Economy,US,2019-10-09,14:18,39.98,-85.09,70.72,68.0,73.4,46,1,8.05
Altay,CN,2019-10-10,02:18,47.83,88.13,40.37,40.37,40.37,31,0,2.55
Taunggyi,MM,2019-10-10,00:48,20.78,97.03,63.77,63.77,63.77,93,0,2.15
Veraval,IN,2019-10-09,23:48,20.9,70.37,79.79,79.79,79.79,62,29,4.97
Blagoveshchensk,RU,2019-10-10,03:18,50.29,127.53,37.4,37.4,37.4,86,40,8.95
Belmonte,BR,2019-10-09,15:18,-26.84,-53.58,83.93,83.93,83.93,46,0,4.3
Loikaw,MM,2019-10-10,00:48,19.67,97.21,62.33,62.33,62.33,93,17,2.11
Guerrero Negro,MX,2019-10-09,12:18,27.97,-114.04,75.83,75.83,75.83,47,0,11.7
Bakersfield,US,2019-10-09,11:18,35.37,-119.02,71.98,62.01,81.0,29,1,13.87
San Joaquin,BO,2019-10-09,14:18,-16.38,-58.39,99.41,99.41,99.41,25,79,5.0
Severo-Yeniseyskiy,RU,2019-10-10,01:18,60.37,93.04,22.19,22.19,22.19,69,0,1.86
Kendari,ID,2019-10-10,02:18,-3.99,122.52,71.51,71.51,71.51,96,93,1.05
Belaya Gora,RU,2019-10-10,05:18,68.54,146.19,8.51,8.51,8.51,91,1,4.89
Kunzelsau,DE,2019-10-09,20:18,49.28,9.69,50.95,46.99,54.0,93,90,11.41
Carutapera,BR,2019-10-09,15:18,-1.2,-46.02,81.05,81.05,81.05,77,75,19.6
Muroto,JP,2019-10-10,03:18,33.37,134.14,62.15,62.15,62.15,78,7,6.75
Upernavik,GL,2019-10-09,16:18,72.79,-56.15,27.41,27.41,27.41,48,0,5.27
Tefe,BR,2019-10-09,14:18,-3.35,-64.71,84.2,84.2,84.2,79,75,10.29
Boden,SE,2019-10-09,20:18,65.83,21.69,37.4,37.4,37.4,74,75,10.29
Moravsky Krumlov,CZ,2019-10-09,20:18,49.05,16.31,51.17,46.99,54.0,93,90,1.12
Batagay,RU,2019-10-10,04:18,67.65,134.64,7.43,7.43,7.43,88,68,5.4
Nyamuswa,TZ,2019-10-09,21:18,-1.9,34.02,77.0,77.0,77.0,69,75,2.66
Sergeyevka,KZ,2019-10-10,00:18,53.88,67.42,54.95,54.95,54.95,52,100,9.06
Matucana,PE,2019-10-09,13:18,-11.84,-76.39,66.65,66.65,66.65,29,0,10.86
Kamarion,GR,2019-10-09,21:18,36.8,25.82,66.42,64.99,68.0,68,0,5.82
Jackson,US,2019-10-09,13:18,35.61,-88.82,76.33,75.0,79.0,57,1,8.05
Umba,RU,2019-10-09,21:18,66.69,34.34,34.97,34.97,34.97,94,100,7.19
Tessalit,ML,2019-10-09,18:18,20.2,1.01,94.19,94.19,94.19,19,71,7.22
Palmer,US,2019-10-09,10:18,61.6,-149.11,43.81,37.99,48.0,86,90,10.29
Siuna,NI,2019-10-09,12:18,13.73,-84.78,86.63,86.63,86.63,64,38,3.42
Do Gonbadan,IR,2019-10-09,21:48,30.36,50.8,80.6,80.6,80.6,21,0,2.86
Puerto Suarez,BO,2019-10-09,14:18,-18.96,-57.8,94.08,93.2,95.0,44,20,4.7
Valuyki,RU,2019-10-09,21:18,50.21,38.1,49.01,49.01,49.01,49,100,13.85
Lima,PE,2019-10-09,13:18,-12.06,-77.04,64.4,64.4,64.4,77,90,6.93
Santa Cruz de Tenerife,ES,2019-10-09,19:18,28.47,-16.25,72.12,66.2,75.99,72,40,16.11
Paka,MY,2019-10-10,02:18,4.64,103.44,78.19,78.01,78.8,94,57,1.72
Maniitsoq,GL,2019-10-09,16:18,65.42,-52.9,37.31,37.31,37.31,47,33,1.79
Fortuna,US,2019-10-09,11:18,40.6,-124.16,54.39,53.01,55.4,47,1,8.05
Escanaba,US,2019-10-09,14:18,45.75,-87.06,65.01,60.01,69.01,68,1,10.29
Luancheng,CN,2019-10-10,02:18,37.88,114.65,57.2,57.2,57.2,87,92,2.24
Havelock,US,2019-10-09,14:18,34.88,-76.9,70.0,68.0,71.6,73,90,9.17
Concepcion del Oro,MX,2019-10-09,13:18,24.63,-101.42,68.81,68.81,68.81,43,0,3.47
Katastarion,GR,2019-10-09,21:18,37.83,20.77,69.35,64.4,71.6,77,0,5.82
Porto Novo,CV,2019-10-09,17:18,17.02,-25.06,86.0,86.0,86.0,58,20,27.51
Mapiripan,CO,2019-10-09,13:18,2.89,-72.13,85.91,85.91,85.91,69,82,6.29
Fuyu,CN,2019-10-10,02:18,47.79,124.46,49.19,49.19,49.19,54,69,15.09
Labuhan,ID,2019-10-10,02:18,-2.54,115.51,73.49,73.49,73.49,77,92,2.0
Ahuimanu,US,2019-10-09,08:18,21.44,-157.84,80.56,78.8,82.4,78,20,4.62
Ntchisi,MW,2019-10-09,20:18,-13.36,33.92,71.69,71.69,71.69,53,2,2.72
Baie-Comeau,CA,2019-10-09,14:18,49.22,-68.15,51.49,50.0,53.01,62,1,14.99
Dong Hoi,VN,2019-10-10,01:18,17.48,106.6,75.65,75.65,75.65,91,73,1.66
San-Pedro,CI,2019-10-09,18:18,4.75,-6.64,77.09,77.09,77.09,89,100,14.87
Vestmanna,FO,2019-10-09,19:18,62.16,-7.17,48.2,48.2,48.2,93,99,17.22
Kahului,US,2019-10-09,08:18,20.89,-156.47,77.22,73.4,80.6,61,20,4.7
Itupiranga,BR,2019-10-09,15:18,-5.13,-49.33,93.2,93.2,93.2,49,40,6.93
Sao Felix do Xingu,BR,2019-10-09,15:18,-6.64,-51.99,92.39,92.39,92.39,42,62,4.07
Guilin,CN,2019-10-10,02:18,25.28,110.29,71.6,71.6,71.6,94,40,2.24
Port Augusta,AU,2019-10-10,04:48,-32.49,137.76,48.09,48.0,48.2,87,12,3.36
Clearwater,US,2019-10-09,14:18,27.97,-82.8,80.06,75.99,84.2,78,1,6.93
Tierralta,CO,2019-10-09,13:18,8.17,-76.06,78.89,78.89,78.89,89,75,4.0
Chimbote,PE,2019-10-09,13:18,-9.08,-78.59,71.15,71.15,71.15,54,87,12.13
Cabo San Lucas,MX,2019-10-09,12:18,22.89,-109.91,88.7,82.0,93.99,66,5,4.7
Aklavik,CA,2019-10-09,12:18,68.22,-135.01,30.88,30.2,32.0,68,75,3.36
Los Llanos de Aridane,ES,2019-10-09,19:18,28.66,-17.92,71.26,68.0,75.2,64,75,10.29
Taksimo,RU,2019-10-10,02:18,56.36,114.84,15.71,15.71,15.71,59,100,5.05
Cap Malheureux,MU,2019-10-09,22:18,-19.98,57.61,73.2,73.0,73.4,69,75,14.99
El Dorado,US,2019-10-09,13:18,37.82,-96.86,64.81,60.8,69.01,72,75,19.46
Krasnokamensk,RU,2019-10-10,03:18,50.1,118.04,30.65,30.65,30.65,60,77,18.32
Pattaya,TH,2019-10-10,01:18,12.93,100.9,81.23,78.8,82.99,83,20,4.7
Natal,BR,2019-10-09,15:18,-5.81,-35.21,85.32,84.2,86.0,54,20,16.11
Bilibino,RU,2019-10-10,06:18,68.06,166.44,2.57,2.57,2.57,96,65,2.39
Port-Gentil,GA,2019-10-09,19:18,-0.72,8.78,77.0,77.0,77.0,94,40,8.05
Blackfoot,US,2019-10-09,12:18,43.19,-112.35,35.38,30.99,37.4,44,75,31.09
Peleduy,RU,2019-10-10,03:18,59.63,112.75,12.65,12.65,12.65,96,56,1.75
Am Timan,TD,2019-10-09,19:18,11.04,20.28,72.59,72.59,72.59,89,80,3.71
Yar-Sale,RU,2019-10-09,23:18,66.83,70.83,39.83,39.83,39.83,93,100,16.59
Kenora,CA,2019-10-09,13:18,49.76,-94.48,55.92,55.4,57.0,71,100,8.05
Codo,BR,2019-10-09,15:18,-4.46,-43.89,100.67,100.67,100.67,23,11,4.83
Levelland,US,2019-10-09,13:18,33.59,-102.38,78.17,77.0,80.01,57,20,14.99
Sisimiut,GL,2019-10-09,16:18,66.94,-53.67,33.17,33.17,33.17,45,26,2.47
Kitimat,CA,2019-10-09,11:18,54.02,-128.69,34.48,30.2,39.0,100,5,2.56
Santa Cruz,CR,2019-10-09,12:18,10.26,-85.58,84.2,84.2,84.2,74,40,10.29
Oranjemund,NA,2019-10-09,20:18,-28.55,16.43,56.03,56.03,56.03,70,0,27.1
Svetlogorsk,RU,2019-10-09,23:18,53.14,59.15,41.0,41.0,41.0,100,90,6.71
Sibu,MY,2019-10-10,02:18,2.29,111.83,77.0,77.0,77.0,94,75,1.12
Kizema,RU,2019-10-09,21:18,61.11,44.83,31.73,31.73,31.73,93,88,6.64
Haines Junction,CA,2019-10-09,11:18,60.75,-137.51,28.31,28.31,28.31,92,100,8.16
Resavica,RS,2019-10-09,20:18,44.04,21.58,58.73,58.73,58.73,63,1,6.98
Grand Gaube,MU,2019-10-09,22:18,-20.01,57.66,73.2,73.0,73.4,69,75,14.99
Mehran,IR,2019-10-09,21:48,33.12,46.17,71.6,71.6,71.6,35,20,2.24
Quatre Cocos,MU,2019-10-09,22:18,-20.21,57.76,73.17,73.0,73.4,69,75,14.99
Dicabisagan,PH,2019-10-10,02:18,17.08,122.42,76.37,76.37,76.37,87,40,8.52
Langsa,ID,2019-10-10,01:18,4.47,97.97,74.21,74.21,74.21,90,100,3.05
Yerbogachen,RU,2019-10-10,02:18,61.28,108.01,12.11,12.11,12.11,95,4,4.37
Businga,CD,2019-10-09,19:18,3.34,20.89,70.61,70.61,70.61,84,20,1.86
Malartic,CA,2019-10-09,14:18,48.14,-78.13,61.54,60.8,62.6,48,5,8.05
Husavik,IS,2019-10-09,18:18,66.04,-17.34,41.0,41.0,41.0,80,75,2.24
Kirakira,SB,2019-10-10,05:18,-10.46,161.92,75.11,75.11,75.11,84,95,5.46
Taltal,CL,2019-10-09,15:18,-25.41,-70.49,58.91,58.91,58.91,71,38,5.96
Quakenbruck,DE,2019-10-09,20:18,52.68,7.95,49.71,46.99,52.0,81,40,6.93
Salinopolis,BR,2019-10-09,15:18,-0.61,-47.36,81.41,81.41,81.41,75,57,19.68
Shubarshi,KZ,2019-10-09,23:18,48.59,57.19,50.45,50.45,50.45,73,100,15.6
Trairi,BR,2019-10-09,15:18,-3.28,-39.27,91.13,91.13,91.13,35,69,14.54
Henties Bay,NA,2019-10-09,20:18,-22.12,14.28,63.0,63.0,63.0,87,0,5.99
Saint-Pierre,PM,2019-10-09,16:18,46.77,-56.17,54.27,53.01,55.4,62,0,17.22
Sorland,NO,2019-10-09,20:18,67.67,12.69,38.48,32.0,42.8,55,11,8.05
